Zipcode,Household_Income,Income_per_Capita,Population
96057,40469.0,26602.0,1299.0
95988,48493.0,23020.0,8381.0
95631,79000.0,32968.0,6800.0
95638,81500.0,39056.0,2121.0
95640,67635.0,21540.0,10977.0
95658,82781.0,46426.0,6853.0
95666,57813.0,33847.0,5113.0
95681,53362.0,22058.0,1148.0
95686,41094.0,17647.0,1209.0
95690,56850.0,30100.0,2122.0
95693,100679.0,41551.0,6759.0
95695,62380.0,30165.0,40857.0
95709,76472.0,36448.0,5315.0
95726,62699.0,32783.0,8170.0
95816,65292.0,53355.0,17217.0
95829,86483.0,30166.0,28134.0
95833,60455.0,28981.0,41209.0
95835,96743.0,41325.0,40101.0
95864,101446.0,60946.0,23733.0
96002,52693.0,27720.0,33901.0
96019,52135.0,23080.0,10111.0
96023,31481.0,19035.0,1114.0
96039,35197.0,27165.0,907.0
96048,50338.0,25287.0,713.0
96050,24938.0,24192.0,418.0
96051,46328.0,29215.0,1351.0
96001,51831.0,31635.0,34571.0
96010,43393.0,24833.0,146.0
96011,20833.0,15983.0,162.0
96029,40417.0,18564.0,195.0
96041,28880.0,21389.0,2797.0
96075,15391.0,12483.0,331.0
96084,41250.0,17282.0,458.0
96013,45319.0,20922.0,4810.0
96022,50625.0,25472.0,16442.0
96032,46213.0,25995.0,2510.0
96047,43750.0,27463.0,851.0
96052,34669.0,23966.0,1493.0
96054,39231.0,21163.0,339.0
96076,38333.0,21444.0,200.0
96103,65234.0,61215.0,1417.0
96104,43438.0,23588.0,603.0
96106,86250.0,40962.0,209.0
96109,42202.0,32428.0,758.0
96113,48824.0,13954.0,1957.0
96125,114297.0,85145.0,184.0
96133,23036.0,5288.0,234.0
96137,55043.0,31628.0,3336.0
96091,47500.0,33803.0,578.0
96096,53125.0,29010.0,732.0
96105,46161.0,37404.0,93.0
96148,73214.0,25780.0,696.0
96006,55000.0,29805.0,380.0
96007,43973.0,23950.0,23106.0
96062,60833.0,40075.0,1007.0
96063,49625.0,26450.0,292.0
96088,48056.0,28035.0,4419.0
96090,43906.0,24880.0,445.0
96093,42364.0,23830.0,3955.0
95113,122120.0,93662.0,1939.0
95116,60855.0,21655.0,56481.0
95206,48908.0,16747.0,64034.0
95207,44103.0,22854.0,51879.0
95220,74583.0,35532.0,7538.0
95936,21250.0,26524.0,114.0
95949,67873.0,35952.0,20519.0
95963,47205.0,21097.0,15043.0
96110,59250.0,32261.0,161.0
96116,51913.0,43443.0,159.0
96117,37647.0,14777.0,319.0
96059,39514.0,20622.0,599.0
96069,54676.0,30183.0,828.0
96130,56369.0,18353.0,20553.0
96150,56321.0,33569.0,29357.0
96064,48489.0,25638.0,4769.0
96073,85694.0,38083.0,3939.0
96087,40147.0,26100.0,589.0
96092,41964.0,39312.0,254.0
96114,87639.0,36861.0,3316.0
96124,41992.0,43012.0,329.0
96140,53239.0,36194.0,1019.0
96141,67679.0,53980.0,297.0
96142,74630.0,35872.0,807.0
96143,47946.0,29191.0,3391.0
96161,93971.0,49851.0,18333.0
96015,40993.0,13325.0,529.0
96024,41397.0,30708.0,933.0
96028,41897.0,28492.0,1359.0
96003,51512.0,28604.0,44475.0
96025,33857.0,21546.0,1957.0
96055,47798.0,25680.0,3914.0
96033,42500.0,21516.0,500.0
96034,33125.0,27296.0,236.0
96058,36838.0,23713.0,686.0
95236,74184.0,39004.0,4223.0
95251,58547.0,36662.0,582.0
95254,100795.0,42822.0,1151.0
95320,68326.0,31627.0,13094.0
95329,60556.0,30744.0,2685.0
95357,65933.0,26864.0,11322.0
95358,59708.0,21157.0,33345.0
95360,60586.0,23053.0,13029.0
95368,73073.0,23131.0,14520.0
95369,48750.0,24564.0,990.0
95370,55676.0,34826.0,27951.0
95376,76261.0,27415.0,53542.0
95386,58529.0,21618.0,10587.0
95410,47422.0,42317.0,1159.0
95429,54643.0,47411.0,124.0
95446,61161.0,39579.0,5100.0
95453,45763.0,28932.0,11092.0
95469,52650.0,27567.0,2015.0
95310,37929.0,29245.0,1995.0
95252,77188.0,30966.0,15703.0
95311,44107.0,28657.0,1649.0
95333,48785.0,23543.0,2479.0
95338,51833.0,28949.0,10898.0
95345,51563.0,27030.0,749.0
95354,49358.0,24357.0,24743.0
95379,62179.0,26731.0,3586.0
95388,44646.0,16877.0,14242.0
95401,66633.0,32952.0,38986.0
95407,59971.0,22678.0,42483.0
95417,63625.0,30386.0,389.0
95426,82219.0,36150.0,1404.0
95427,24125.0,18411.0,222.0
95428,37031.0,20927.0,2563.0
95432,44063.0,27098.0,519.0
95437,45833.0,25092.0,14632.0
95443,16250.0,11233.0,270.0
95463,61513.0,33206.0,152.0
95468,48365.0,26036.0,1325.0
95488,57452.0,34597.0,251.0
95546,34375.0,18856.0,3768.0
95556,39300.0,14807.0,627.0
95569,47609.0,28212.0,295.0
95660,45328.0,17712.0,36472.0
95663,98393.0,42181.0,2602.0
95014,160801.0,67384.0,62430.0
95033,162308.0,76740.0,9597.0
95039,41551.0,13687.0,1195.0
95112,63500.0,32583.0,61060.0
94123,148276.0,113535.0,25941.0
94521,97011.0,43449.0,43103.0
94587,105448.0,38484.0,74601.0
94060,111379.0,46907.0,1081.0
94025,151279.0,80653.0,42788.0
94963,116250.0,68001.0,498.0
94085,116332.0,54547.0,23612.0
94158,153077.0,86125.0,7291.0
94503,98247.0,33918.0,20306.0
94505,114977.0,47945.0,16251.0
94516,86250.0,41224.0,148.0
94528,140496.0,82247.0,307.0
94531,97104.0,31881.0,43788.0
94534,110761.0,47304.0,38444.0
94548,109453.0,51333.0,501.0
94551,113305.0,46851.0,45753.0
94582,156824.0,61219.0,42059.0
94597,105370.0,59789.0,22734.0
94720,250001.0,6509.0,2971.0
94957,250001.0,129559.0,1400.0
95010,80011.0,45342.0,9030.0
95046,113187.0,42906.0,6025.0
95076,63979.0,24596.0,86703.0
95117,91347.0,46620.0,29592.0
95118,107701.0,49225.0,32560.0
95122,73388.0,21697.0,57780.0
90010,61849.0,42734.0,3702.0
90024,63306.0,43406.0,50288.0
90025,83655.0,53136.0,47967.0
90029,39562.0,22947.0,37898.0
90201,42255.0,13464.0,102433.0
90031,44343.0,20318.0,38535.0
90035,79534.0,55360.0,28085.0
90063,46613.0,17166.0,52951.0
92691,113280.0,45150.0,50782.0
92706,64102.0,24661.0,35083.0
92808,124466.0,56427.0,20667.0
92882,75804.0,29623.0,71581.0
92887,142615.0,58524.0,20194.0
92327,27917.0,15006.0,740.0
92307,58819.0,27852.0,39273.0
92003,77208.0,44279.0,5042.0
92021,56863.0,25108.0,71321.0
92059,94399.0,46988.0,1456.0
92024,114131.0,62822.0,51496.0
92028,69620.0,33261.0,49380.0
92070,47583.0,32030.0,829.0
92071,83712.0,34043.0,57511.0
92101,66202.0,60051.0,39313.0
92110,68368.0,36860.0,29911.0
92111,69442.0,31245.0,49369.0
92119,84191.0,42059.0,23990.0
92127,134769.0,54525.0,48721.0
92129,121357.0,46483.0,54986.0
92201,42757.0,21696.0,65347.0
92210,99871.0,94908.0,5049.0
92211,62043.0,51867.0,25339.0
92241,30532.0,21078.0,7904.0
92242,29063.0,20254.0,1306.0
92243,46648.0,19288.0,50484.0
92251,84544.0,21479.0,23388.0
92252,37632.0,22923.0,9394.0
92260,54099.0,38433.0,34225.0
92266,28125.0,32253.0,108.0
92270,71227.0,64138.0,18075.0
92276,44970.0,21448.0,7772.0
92278,41912.0,21018.0,4737.0
92282,37177.0,18592.0,1373.0
92305,53854.0,32419.0,622.0
92320,52983.0,27865.0,8597.0
92356,30513.0,17115.0,6065.0
92382,58073.0,28477.0,4709.0
92384,167500.0,111492.0,13.0
92411,40539.0,13658.0,26563.0
92530,55399.0,19171.0,56511.0
92583,42931.0,19167.0,32692.0
92585,73417.0,27155.0,21732.0
92595,74735.0,27128.0,33642.0
91945,62698.0,23942.0,27193.0
91377,128622.0,63252.0,13730.0
91403,95944.0,67244.0,25218.0
91411,54555.0,30062.0,25801.0
91506,79148.0,43833.0,18575.0
91752,79181.0,26663.0,33135.0
91754,60261.0,29782.0,33058.0
91763,58094.0,19376.0,38406.0
91765,97968.0,38464.0,47139.0
91709,104590.0,37492.0,79298.0
91731,39383.0,16145.0,30139.0
91733,45519.0,15987.0,44968.0
91737,105406.0,40529.0,25339.0
91741,105874.0,45939.0,26565.0
91745,84224.0,32659.0,54975.0
91768,51149.0,17548.0,35389.0
91780,68456.0,29275.0,35351.0
91792,77333.0,27428.0,29839.0
91917,85096.0,22673.0,920.0
91325,68642.0,33345.0,34635.0
91326,112865.0,50165.0,37035.0
